authFullName_s,producedDate_s,journalTitle_s,conferenceTitle_s,conferenceStartDate_s
"Sylvain Gelly,Olivier Teytaud",2006-12-09,,NIPS Workshop on Machine Learning Open Source Software,2006-12-09
"Wittawat Jitkrittum,Zoltán Szabó,Arthur Gretton",2017-08-06,,International Conference on Machine Learning (ICML),2017-08-06
"Xuhong Li,Yves Grandvalet,Franck Davoine",2018-07-10,,35th International Conference on Machine Learning (ICML 2018),2018-07-10
"Eloi Zablocki,Patrick Bordes,Benjamin Piwowarski,Laure Soulier,Patrick Gallinari",2019-06-09,,Thirty-sixth International Conference on Machine Learning (ICML),2019-06-09
"Raphael Puget,Nicolas Baskiotis,Patrick Gallinari",2015-07-06,,Extreme Classification Workshop at ICML,2015-07-06
"M. Pawan Kumar,Ben Packer,Daphne Koller",2012-06-26,,ICML,2012-06-26
"Edouard Pineau,Sébastien Razakarivony,Thomas Bonald",2020,,"ICML Workshop on Invertible Neural Networks, Normalizing Flows, and Explicit Likelihood Models",2020
"Marin Toromanoff,Emilie Wirbel,Fabien Moutarde",2019-12-14,,Deep Reinforcement Learning Workshop of 39th Conference on Neural Information Processing Systems (Neurips'2019),2019-12-14
"Othmane Marfoq,Chuan Xu,Giovanni Neglia,Richard Vidal",2020-12-06,,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020-12-06
"Abdulkadir Çelikkanat,Fragkiskos Malliaros",2019-12-08,,NeurIPS 2019 - 33th Annual Conference on Neural Information Processing Systems - Workshop on Graph Representation Learning,2019-12-08
"Abdulkadir Çelikkanat,Fragkiskos Malliaros",2018-12-08,,"32nd Conference on Neural Information Processing Systems (NeurIPS 2018), Relational Representation Learning Workshop",2018-12-08
"Sarath Yasodharan,Patrick Loiseau",2019-12-08,,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019-12-08
"Kwangho Kim,Jisu Kim,Manzil Zaheer,Joon Kim,Frédéric Chazal,Larry Wasserman",2020-12-06,,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020-12-06
"Pierre-Cyril Aubin-Frankowski,Zoltán Szabó",2020-12-06,,Advances in Neural Information Processing Systems (NeurIPS-2020),2020-12-06
"Jérôme-Alexis Chevalier,Alexandre Gramfort,Joseph Salmon,Bertrand Thirion",2020-12-06,,NeurIPS 2020 - 34h Conference on Neural Information Processing Systems,2020-12-06
"Guillaume Charpiat,Nicolas Girard,Loris Felardos,Yuliya Tarabalka",2019-12-08,,NeurIPS 2019 - 33th Annual Conference on Neural Information Processing Systems,2019-12-08
"Pavol Mulinka,Sarah Wassermann,Gonzalo Marín,Pedro Casas",2018-12-07,,Continual Learning Workshop at NeurIPS 2018,2018-12-07
Hédi Hadiji,2019-12-08,,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019-12-08
"Hugo Scurto,Baptiste Caramiaux,Thomas Similowski,Samuel Bianchini",2021-12-14,,5th NeurIPS Workshop on Machine Learning for Creativity and Design,2021-12-14
"Martin Simonovsky,Nikos Komodakis",2018-04-30,,ICLR 2018 Workshop track (Sixth International Conference on Learning Representations),2018-04-30
"Nathan Grinsztajn,Philippe Preux,Edouard Oyallon",2021-05-07,,ICLR 2021 Workshop GTRL,2021-05-07
"Alexandre Péré,Sébastien Forestier,Olivier Sigaud,Pierre-Yves Oudeyer",2018-04-30,,ICLR2018 - 6th International Conference on Learning Representations,2018-04-30
"Chris Reinke,Mayalen Etcheverry,Pierre-Yves Oudeyer",2020-04-26,,International Conference on Learning Representations (ICLR),2020-04-26
"Mayalen Etcheverry,Pierre-Yves Oudeyer,Chris Reinke",2021-04-27,,ICLR 2020 workshop: Beyond tabula rasa in Reinforcement Learning,2021-04-27
"Arthur da Cunha,Emanuele Natale,Laurent Viennot",2022-04-25,,ICLR 2022 - 10th International Conference on Learning Representations,2022-04-25
"Zhenyu Liao,Romain Couillet,Michael Mahoney",2021-05-03,,ICLR 2021 - 9th International Conference on Learning Representations,2021-05-03
"Yannis Flet-Berliac,Johan Ferret,Olivier Pietquin,Philippe Preux,Matthieu Geist",2021-05-04,,ICLR 2021 - International Conference on Learning Representations,2021-05-04
"Yannis Flet-Berliac,Reda Ouhamma,Odalric-Ambrym Maillard,Philippe Preux",2021-05-04,,ICLR 2021 - International Conference on Learning Representations,2021-05-04
"Jorge Guevara,Bianca Zadrozny,Alvaro Buoro,John Tolle,Jan Limbeck,Mingqi Wu,Defletf Hohl",2018-12-03,,NIPS 2018 Workshop book,2018-12-03
"Wittawat Jitkrittum,Wenkai Xu,Zoltán Szabó,Kenji Fukumizu,Arthur Gretton",2017-12-04,,"31st Conference on Neural Information Processing Systems (NIPS 2017),",2017-12-04
"Frédéric Chazal,Ilaria Giulini,Bertrand Michel",2016-12,,30th Conference on Neural Information Processing Systems (NIPS 2016),2016-12
"Nicolas Baskiotis,Michèle Sebag,Marie-Claude Gaudel,Sandrine-Dominique Gouraud",2006-12-08,,"On-line Trading of Exploration and Exploitation, NIPS 2006 Workshop",2006-12-08
"Julien Audiffren,Liva Ralaivola",2017-12-04,,"Neural Information Processing Systems, NIPS 2017",2017-12-04
"Manuel Lopes,Tobias Lang,Marc Toussaint,Pierre-Yves Oudeyer",2012-12-03,,Neural Information Processing Systems (NIPS),2012-12-03
M. Pawan Kumar,2014,,NIPS - Advances in Neural Information Processing Systems,2014
"Antoine Bordes,Nicolas Usunier,Alberto Garcia-Duran,Jason Weston,Oksana Yakhnenko",2013-12-05,,Neural Information Processing Systems (NIPS),2013-12-05
"Clément Calauzènes,Nicolas Usunier,Patrick Gallinari",2012-12-03,,Advances in Neural Information Processing Systems 25 (NIPS 2012),2012-12-03
"Mathieu Lagrange,Jennifer Murdoch,George Tzanetakis",2006,,"Neural Information Processing systems (NIPS), workshop on Advances in Models for Acoustic Processing",2006
"Luc Bégin,Pascal Germain,François Laviolette,Jean-Francis Roy",2016-05-09,,International Conference on Artificial Intelligence and Statistics (AISTATS 2016),2016-05-09
"Pierre Gaillard,Olivier Wintenberger",2017-04-01,,20th International Conference on Artificial Intelligence and Statistics (AISTATS),2017-04-01
"Peiyuan Zhang,Antonio Orvieto,Hadi Daneshmand,Thomas Hofmann,Roy Smith",2021-04-13,,AISTATS 2021 - 24th International Conference on Artifi-cial Intelligence and Statistics,2021-04-13
"Nino Vieillard,Bruno Scherrer,Olivier Pietquin,Matthieu Geist",2020-08-01,,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020-08-01
"Courtney Paquette,Hongzhou Lin,Dmitriy Drusvyatskiy,Julien Mairal,Zaid Harchaoui",2018-04-09,,AISTATS 2018 - 21st International Conference on Artificial Intelligence and Statistics,2018-04-09
"Hannah Marienwald,Jean-Baptiste Fermanian,Gilles Blanchard",2021-04-13,,AISTATS 2021 - 24th International Conference on Artificial Intelligence and Statistics,2021-04-13
"Morgane Goibert,Stéphan Clémençon,Ekhine Irurozki,Pavlo Mozharovskyi",2022-03-28,,25th International Conference on Artificial Intelligence and Statistics AISTATS 2022,2022-03-28
"Rémi Leblond,Fabian Pedregosa,Simon Lacoste-Julien",2017-04-20,,20th International Conference on Artificial Intelligence and Statistics (AISTATS) 2017,2017-04-20
