authFullName_s,producedDate_s,journalTitle_s,conferenceTitle_s,conferenceStartDate_s
"Hachem Kadri,Mohammad Ghavamzadeh,Philippe Preux",2013-06,,International Conference on Machine Learning (ICML),2013-06
"Gabriel Peyré,Marco Cuturi,Justin Solomon",2016-06-19,,ICML 2016,2016-06-19
"Ekaterina Iakovleva,Jakob Verbeek,Karteek Alahari",2020-07-12,,ICML 2020 - 37th International Conference on Machine Learning,2020-07-12
"Alexandre Sablayrolles,Matthijs Douze,Cordelia Schmid,Hervé Jégou",2020-07-12,,ICML 2020 - Thirty-seventh International Conference on Machine Learning,2020-07-12
"Alberto Bietti,Grégoire Mialon,Dexiong Chen,Julien Mairal",2019-06-10,,ICML 2019 - 36th International Conference on Machine Learning,2019-06-10
"Marta Avalos,Hélène Touchais,Marcela Henríquez-Henríquez",2020-12-07,,ML4H - Machine Learning for Health workshop at NeurIPS 2020,2020-12-07
"Laetitia Chapel,Mokhtar Alaya,Gilles Gasso",2020-12-07,,Advances in Neural Information Processing Systems 33 (NeurIPS 2020),2020-12-07
"Redouane Lguensat,Julien Le Sommer,Sammy Metref,Emmanuel Cosme,Ronan Fablet",2019-12-14,,NeurIPS 2019 : 33rd Conference on Neural Information Processing Systems,2019-12-14
"Aadirupa Saha,Pierre Gaillard",2021-12-06,,NeurIPS 2021 - 35th International Conference on Neural Information Processing Systems,2021-12-06
"Luigi Gresele,Giancarlo Fissore,Adrián Javaloy,Bernhard Schölkopf,Aapo Hyvärinen",2020-12-06,,NeurIPS 2020 - 34h Conference on Neural Information Processing Systems,2020-12-06
"Thanh Huy Nguyen,Umut Şimşekli,Mert Gürbüzbalaban,Gael Richard",2019-12-08,,33rd Conference on Neural Information Processing Systems (NeurIPS 2019),2019-12-08
"Tom Dupré La Tour,Thomas Moreau,Mainak Jas,Alexandre Gramfort",2018-12-03,,Advances in Neural Information Processing Systems (NeurIPS),2018-12-03
"Hugo Richard,Pierre Ablin,Bertrand Thirion,Alexandre Gramfort,Aapo Hyvärinen",2021-12-06,,35th Conference on Neural Information Processing Systems NeurIPS 2021,2021-12-06
"Ð.Khuê Lê-Huu,Karteek Alahari",2021-12-06,,NeurIPS 2021 - 35th Annual Conference on Neural Information Processing Systems,2021-12-06
"Aymeric Dieuleveut,Gersende Fort,Eric Moulines,Geneviève Robin",2021-12-06,,NeurIPS 2021 - 35th Conference on Neural Information Processing Systems,2021-12-06
"Antoine Chaffin,Vincent Claveau,Ewa Kijak",2021-12-13,,CtrlGen 2021 - Workshop on Controllable Generative Modeling in Language and Vision at NeurIPS 2021,2021-12-13
"Zhenyu Liao,Romain Couillet,Michael Mahoney",2020-12-06,,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020-12-06
"Théo Bodrito,Alexandre Zouaoui,Jocelyn Chanussot,Julien Mairal",2021-12-06,,NeurIPS 2021 – 35th Annual Conference on Neural Information Processing Systems,2021-12-06
"Zakaria Mhammedi,Benjamin Guedj,Robert Williamson",2020-12-06,,NeurIPS 2020,2020-12-06
"Nino Vieillard,Tadashi Kozuno,Bruno Scherrer,Olivier Pietquin,Rémi Munos,Matthieu Geist",2020-12-06,,NeurIPS - 34th Conference on Neural Information Processing Systems,2020-12-06
"Elias Ramzi,Nicolas Thome,Clément Rambour,Nicolas Audebert,Xavier Bitot",2021-12-06,,Thirty-fifth Conference on Neural Information Processing Systems (NeurIPS 2021),2021-12-06
"Bruno Lecouat,Jean Ponce,Julien Mairal",2020-12-06,,NeurIPS '20 - 34th International Conference on Neural Information Processing Systems,2020-12-06
"Loucas Pillaud-Vivien,Alessandro Rudi,Francis Bach",2018-12-02,,Neural Information Processing Systems (NeurIPS),2018-12-02
"Hadi Daneshmand,Amir Joudaki,Francis Bach",2021-12-06,,NeurIPS 2021 - 35th Conference on Neural Information Processing Systems,2021-12-06
"Oumayma Bounou,Jean Ponce,Justin Carpentier",2021-12-06,,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems Year,2021-12-06
"Yannis Flet-Berliac,Philippe Preux",2019-12-08,,"Deep Reinforcement Learning Workshop, NeurIPS",2019-12-08
"Jean Tarbouriech,Matteo Pirotta,Michal Valko,Alessandro Lazaric",2021-12-06,,Neural Information Processing Systems (NeurIPS),2021-12-06
"Jean Tarbouriech,Runlong Zhou,Simon Du,Matteo Pirotta,Michal Valko,Alessandro Lazaric",2021-12-06,,Neural Information Processing Systems (NeurIPS),2021-12-06
"Yoan Russac,Claire Vernade,Olivier Cappé",2019-12-08,,NeurIPS 2019 - 33rd Conference on Neural Information Processing Systems,2019-12-08
"Florian Strub,Jérémie Mary",2015-12,,NIPS Workshop on Machine Learning for eCommerce,2015-12
"Frédéric Guillou,Romaric Gaudel,Philippe Preux",2015-12-11,,NIPS'15 Workshop: Machine Learning for eCommerce,2015-12-11
"Marta Avalos Fernandez,Richard Nock,Cheng Ong,Julien Rouar,Ke Sun",2018-12-03,,NIPS 2018 - Thirty-second Conference on Neural Information Processing Systems,2018-12-03
"Yin Chen,Arnak S. Dalalyan",2012-12-03,,Neural Information Processing Systems (NIPS 2012),2012-12-03
"Nicolas Le Roux,Mark Schmidt,Francis Bach",2012,,NIPS'12 - 26 th Annual Conference on Neural Information Processing Systems (2012),2012
"Alexandre Hollocou,Julien Maudet,Thomas Bonald,Marc Lelarge",2017-12-04,,NIPS 2017 - Wokshop on Advances in Modeling and Learning Interactions from Complex Data,2017-12-04
"Damien Garreau,Rémi Lajugie,Sylvain Arlot,Francis Bach",2014-12-16,,Advances in Neural Information Processing Systems 27 (NIPS 2014),2014-12-16
"David Rousseau,Sabrina Amrouche,Paolo Calafiura,Victor Estrade,Steven Farrell,Cécile Germain,Vladimir Gligorov,Tobias Golling,Heather Gray,Isabelle Guyon,Mikhail Hushchyn,Vincenzo Innocente,Moritz Kiehn,Andreas Salzburger,Andrey Ustyuzhanin,Jean-Roch Vlimant,Yetkin Yilmaz",2018-12-03,,NIPS 2018 - 32nd Annual Conference on Neural Information Processing Systems,2018-12-03
"Nicolò Cesa-Bianchi,Claudio Gentile,Gabor Lugosi,Gergely Neu",2017-12-04,,NIPS 2017 - 31st Annual Conference on Neural Information Processing Systems,2017-12-04
"Fabio Vitale,Nikos Parotsidis,Claudio Gentile",2018-12-03,,NIPS 2018 - 32nd Conference on Neural Information Processing Systems,2018-12-03
"James Bergstra,R. Bardenet,Yoshua Bengio,Balázs Kégl",2011-12-12,,25th Annual Conference on Neural Information Processing Systems (NIPS 2011),2011-12-12
"Pierre Machart,Luca Baldassarre,Sandrine Anthoine",2012-12-07,,Multi-Trade-offs in Machine Learning (NIPS),2012-12-07
"Elvis Dohmatob,Arthur Mensch,Gaël Varoquaux,Bertrand Thirion",2016-12-05,,Neural Information Processing Systems (NIPS),2016-12-05
"Marta Soare,Alessandro Lazaric,Rémi Munos",2014-12-08,,NIPS - Advances in Neural Information Processing Systems 27,2014-12-08
"Guillaume Papa,Stéphan Clémençon,Aurélien Bellet",2016-12-05,,Annual Conference on Neural Information Processing Systems (NIPS 2016),2016-12-05
"Igor Colin,Aurélien Bellet,Joseph Salmon,Stéphan Clémençon",2015-12-07,,Annual Conference on Neural Information Processing Systems (NIPS),2015-12-07
"Guillaume Papa,Stéphan Clémençon,Aurélien Bellet",2015-12-07,,Annual Conference on Neural Information Processing Systems (NIPS),2015-12-07
"Sertan Girgin,Jérémie Mary,Philippe Preux,Olivier Nicol",2010-12-10,,NIPS workshop on Machine Learning in Online ADvertising,2010-12-10
"Daniil Ryabko,Jérémie Mary",2012-12,,NIPS,2012-12
"Niao He,Zaid Harchaoui",2015-12-07,,NIPS - Advances in Neural Information Processing Systems,2015-12-07
"Fabian Pedregosa,Rémi Leblond,Simon Lacoste-Julien",2017-12-04,,NIPS 2017 - Thirty-First Annual Conference on Neural Information Processing Systems,2017-12-04
"Tatiana Shpakova,Francis Bach",2016-12-05,,NIPS 2016 - Thirtieth Annual Conference on Neural Information Processing System,2016-12-05
"Anastasia Podosinnikova,Francis Bach,Simon Lacoste-Julien",2015-12-07,,NIPS 2015 - Advances in Neural Information Processing Systems 28,2015-12-07
"Palaniappan Balamurugan,Francis Bach",2016-12-05,,Neural Information Processing Systems (NIPS),2016-12-05
"Edouard Grave,Guillaume Obozinski,Francis Bach",2012,,Neural Information Processing Systems (NIPS),2012
"Mark Schmidt,Nicolas Le Roux,Francis Bach",2011-12-12,,NIPS'11 - 25 th Annual Conference on Neural Information Processing Systems,2011-12-12
"Nicolas Le Roux,Francis Bach",2013,,ICLR - International Conference on Learning Representations 2013,2013
"Muhammet Balcilar,Renton Guillaume,Pierre Héroux,Benoit Gaüzère,Sébastien Adam,Paul Honeine",2021-05-04,,Proceedings of the International Conference on Learning Representations (ICLR),2021-05-04
"Grégoire Mialon,Dexiong Chen,Alexandre d'Aspremont,Julien Mairal",2021-05-04,,ICLR 2021 - The Ninth International Conference on Learning Representations,2021-05-04
"Alberto Bietti,Francis Bach",2021-05-03,,ICLR 2021 - International Conference on Learning Representations,2021-05-03
"Zaccharie Ramzi,Florian Mannel,Shaojie Bai,Jean-Luc Starck,Philippe Ciuciu,Thomas Moreau",2022-04-25,,ICLR 2022 - International Conference on Learning Representations,2022-04-25
"David Buchman,Mark Schmidt,Shakir Mohamed,David Poole,Nando de Freitas",2012-04-21,,AISTATS 2012 - 15th International Conference on Artificial Intelligence and Statistics,2012-04-21
"Vincent Cohen-Addad,Benjamin Guedj,Varun Kanade,Guy Rom",2021-04-13,,AISTATS 2021 - The 24th International Conference on Artificial Intelligence and Statistics,2021-04-13
"Simon Lacoste-Julien,Fredrik Lindsten,Francis Bach",2015-05-09,,18th International Conference on Artificial Intelligence and Statistics (AISTATS),2015-05-09
"Julien Perolat,Bruno Scherrer,Bilal Piot,Olivier Pietquin",2015-07-06,,International Conference on Machine Learning (ICML 2015),2015-07-06
"Thomas Lucas,Corentin Tallec,Jakob Verbeek,Yann Ollivier",2018-07-10,,ICML - 35th International Conference on Machine Learning,2018-07-10
"Julien Pérolat,Bilal Piot,Matthieu Geist,Bruno Scherrer,Olivier Pietquin",2016-06-19,,ICML 2016 - 33rd International  Conference  on  Machine Learning,2016-06-19
"Boris Lesner,Bruno Scherrer",2015-07-06,,ICML 2015,2015-07-06
"Camille-Sovanneary Gauthier,Romaric Gaudel,Elisa Fromont,Boammani Lompo",2021-07-18,,ICML 2021 - International Conference on Machine Learning,2021-07-18
"Matthieu Lerasle,Zoltán Szabó,Timothée Mathieu,Guillaume Lecué",2019-06-09,,ICML 2019 - 36th International Conference on Machine Learning,2019-06-09
"Charles-Alban Deledalle,Samuel Vaiter,Gabriel Peyré,Jalal M. Fadili,Charles Dossal",2012-06-30,,"ICML'2012 workshop on Sparsity, Dictionaries and Projections in Machine Learning and Signal Processing",2012-06-30
"Camille Garcin,Alexis Joly,Pierre Bonnet,Jean-Christophe Lombardo,Antoine Affouard,Mathias Chouet,Maximilien Servajean,Titouan Lorieul,Joseph Salmon",2021-12-06,,NeurIPS 2021 - 35th Conference on Neural Information Processing Systems,2021-12-06
"Rémi Jézéquel,Pierre Gaillard,Alessandro Rudi",2021-12-06,,NeurIPS 2021. Thirty-fifth Conference on Neural Information Processing Systems,2021-12-06
"Gersende Fort,Eric Moulines,Hoi-To Wai",2020-12-06,,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020-12-06
"Gaël Letarte,Pascal Germain,Benjamin Guedj,François Laviolette",2019-12-08,,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019-12-08
"Zakaria Mhammedi,Peter Grünwald,Benjamin Guedj",2019-12-09,,NeurIPS 2019,2019-12-09
"Guillaume Gautier,Rémi Bardenet,Michal Valko",2019-06-14,,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019-06-14
"Gianni Franchi,Andrei Bursuc,Emanuel Aldea,Séverine Dubuisson,Isabelle Bloch",2020-12-06,,NeurIPS workshop on Bayesian Deep Learning,2020-12-06
"Gianni Franchi,Andrei Bursuc,Emanuel Aldea,Séverine Dubuisson,Isabelle Bloch",2020-12-10,,NeurIPS workshop on Bayesian Deep Learning,2020-12-10
"Maria Perez-Ortiz,Omar Rivasplata,Emilio Parrado-Hernandez,Benjamin Guedj,John Shawe-Taylor",2021-12-06,,NeurIPS 2021 - Conference on Neural Information Processing Systems. Session Workshop : Bayesian Deep Learning,2021-12-06
"Valentina Zantedeschi,Paul Viallard,Emilie Morvant,Rémi Emonet,Amaury Habrard,Pascal Germain,Benjamin Guedj",2021,,NeurIPS,2021
"Raphaël Berthier,Francis Bach,Pierre Gaillard",2020-12-06,,NeurIPS '20 - 34th International Conference on Neural Information Processing Systems,2020-12-06
"Alessandro Rudi,Daniele Calandriello,Luigi Carratino,Lorenzo Rosasco",2018-12-02,,NeurIPS 2018  - Thirty-second Conference on Neural Information Processing Systems,2018-12-02
"Ulysse Marteau-Ferey,Francis Bach,Alessandro Rudi",2019-12-08,,NeurIPS 2019 - Conference on Neural Information Processing Systems,2019-12-08
"Edouard Leurent,Denis Efimov,Odalric-Ambrym Maillard",2020-12-06,,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems,2020-12-06
"Zaccharie Ramzi,Benjamin Rémy,Francois Lanusse,Jean-Luc Starck,Philippe Ciuciu",2020-12-06,,NeurIPS 2020 - 34th Conference on Neural Information Processing Systems / Workshop on Deep Learning and Inverse Problems,2020-12-06
"Benjamin Rémy,Francois Lanusse,Zaccharie Ramzi,Jia Liu,Niall Jeffrey,Jean-Luc Starck",2020-12-06,,NeurIPS 2020 - 3rd Workshop on Machine Learning and the Physical Sciences,2020-12-06
"Aurélien Garivier,Emilie Kaufmann,Tor Lattimore",2016-12-05,,NIPS,2016-12-05
"Jean-Bernard Lasserre,Edouard Pauwels",2016-12-05,,Neural Information Processing Systems (NIPS 2016),2016-12-05
Francis Bach,2010,,NIPS 2010 : Twenty-Fourth Annual Conference on Neural Information Processing Systems,2010
"Edouard Grave,Guillaume Obozinski,Francis Bach",2013-12-10,,New Directions in Transfer and Multi-Task: Learning Across Domains and Tasks (NIPS Workshop),2013-12-10
"Giulia Luise,Alessandro Rudi,Massimiliano Pontil,Carlo Ciliberto",2018-12-02,,NIPS 2018 - Advances in Neural Information Processing Systems,2018-12-02
"Jakob Verbeek,William Triggs",2007-12-03,,NIPS 2007 - Advances in Neural Information Processing Systems,2007-12-03
"François Denis,Amaury Habrard,Rémi Gilleron,Marc Tommasi,Édouard Gilbert",2007-12-08,,NIPS Workshop on Representations and Inference on Probability Distributions,2007-12-08
"Victor Gabillon,Mohammad Ghavamzadeh,Bruno Scherrer",2013-12-05,,Neural Information Processing Systems (NIPS) 2013,2013-12-05
"Charanpal Dhanjal,Romaric Gaudel,Stéphan Clémençon",2011-12-16,,DISCML - 3rd NIPS Workshop on Discrete Optimization in Machine Learning - 2011,2011-12-16
"Alessandro Rudi,Carlo Ciliberto,Gian Maria Marconi,Lorenzo Rosasco",2018-12-02,,NIPS 2018 - Neural Information Processing Systems Conference,2018-12-02
"Nicolò Cesa-Bianchi,Pierre Gaillard,Gabor Lugosi,Gilles Stoltz",2012-12-03,,NIPS 2012,2012-12-03
"Pascal Germain,Francis Bach,Alexandre Lacoste,Simon Lacoste-Julien",2016-12-05,,Neural Information Processing Systems (NIPS 2016),2016-12-05
"Nguyen Thanh Hai,Yann Chevaleyre,Edi Prifti,Nataliya Sokolovska,Jean-Daniel Zucker",2017-12-08,,NIPS 2017 Workshop on Machine Learning for Health,2017-12-08
"Antoine Liutkus,Ondřej Cífka,Shih-Lun Wu,Umut Şimşekli,Yi-Hsuan Yang,Gael Richard",2021-07-18,,ICML 2021 - 38th International Conference on Machine Learning,2021-07-18
"Maxime Janvier,Radu Horaud,Laurent Girin,Frédéric Berthommier,Louis-Jean Boë,Caralyn Kemp,Arnaud Rey,Thierry Legou",2013-12-10,,Workshop: Neural Information Processing Scaled for Bioacoustics : NIPS4B,2013-12-10
"Alexandre Défossez,Neil Zeghidour,Nicolas Usunier,Léon Bottou,Francis Bach",2018-12-02,,Conference on Neural Information Processing Systems (NIPS),2018-12-02
"Aude Genevay,Marco Cuturi,Gabriel Peyré,Francis Bach",2016-12-05,,NIPS 2016 - Thirtieth Annual Conference on Neural Information Processing System,2016-12-05
"Hachem Kadri,Alain Rakotomamonjy,Francis Bach,Philippe Preux",2012-12,,Neural Information Processing Systems (NIPS),2012-12
